"observation_id","location_name","longitude","latitude","min","max","genus_name","species_name","trait_name","trait_class","value","standard_unit","value_type","methodology_name","reference_no"
2666,"Mexico","-97.615398","18.31615",111,125,"Acanthocoenia","neocomiensis","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",85
719,"Austria","14.550072","47.516231",0,999,"Acropora","","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",11
2737,"Germany","11.670876","47.637185",93.9,100.5,"Acrosmilia","","Coloniality","Morphological","solitary","text","expert_opinion","Observation_field_or_laboratory",87
157,"Global","NULL","NULL",56,93.9,"Acrosmilia","conica","Coloniality","Morphological","solitary","text","expert_opinion","Observation_field_or_laboratory",4
1811,"Iran","59.828889","36.175556",111,125,"Acrosmilia","conica","Coloniality","Morphological","solitary","text","expert_opinion","Observation_field_or_laboratory",44
1812,"Iran","59.828889","36.175556",111,125,"Acrosmilia","conica","Coloniality","Morphological","solitary","text","expert_opinion","Observation_field_or_laboratory",44
2567,"Mexico","-112.995855","26.747198",47.8,56,"Actinacis","","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",72
167,"Global","NULL","NULL",23,66,"Actinacis","barretti","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",4
168,"Global","NULL","NULL",56,93.9,"Actinacis","haueri","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",4
1594,"Austria","13.4","47.7",83.6,89.8,"Actinacis","haueri","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",39
170,"Global","NULL","NULL",33.9,113,"Actinacis","martiniana","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",4
1592,"Austria","13.4","47.7",86.3,89.8,"Actinacis","parvistella","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",39
1593,"Austria","13.4","47.7",93.9,93.9,"Actinacis","remesi","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",39
172,"Global","NULL","NULL",61.6,100.5,"Actinacis","remesi","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",4
740,"Global","NULL","NULL",61.6,100.5,"Actinacis","remesi","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",4
173,"Global","NULL","NULL",61.6,89.8,"Actinacis","reussi","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",4
2502,"Venezuela","-63.919722","10.250556",100.5,145,"Actinaraea","arborescens","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",71
2412,"Bulgaria","22.75","42.84",139.8,145,"Actinaraea","granulata","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",55
2413,"Bulgaria","22.75","42.84",139.8,152.1,"Actinaraea","granulata","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",55
2277,"Mexico","-100.951389","18.516667",120,125,"Actinaraea","michoacanensis","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",62
2414,"Bulgaria","22.75","42.84",145,157.3,"Actinaraea","minuta","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",55
2433,"Spain","0.03","40",120,125,"Actinaraeopsis","","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",66
2603,"France","5.27","44.17",125,129.4,"Actinaraeopsis","ventosiana","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",80
783,"France","45.7824","5.322",168.3,170.3,"Actinarea","","Coloniality","Morphological","colonial","text","expert_opinion","observation_laboratory",10
1295,"Global","NULL","NULL",182.7,199.3,"Actinastraea","minima","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",16
1296,"Global","NULL","NULL",190.8,201.3,"Actinastraea","plana","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",16
1722,"Iran","59.828889","36.175556",111,125,"Actinastraea","pseudominima","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",44
1723,"Iran","59.828889","36.175556",111,125,"Actinastraea","pseudominima","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",44
2287,"Switzerland","9","47",139.8,145,"Actinastrea","","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",63
2623,"Greece","22.468835","38.586501",100.5,113,"Actinastrea","aequibernensis","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",75
673,"Global","NULL","NULL",66,86.3,"Actinastrea","bastidensis","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",11
1511,"Saudi Arabia","46.25","24.93",157.3,163.5,"Actinastrea","bernensis","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",32
1836,"India","69.49","23.32",157.3,168.3,"Actinastrea","bernensis","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",48
2268,"Mexico","-100.701389","18.484167",100.5,113,"Actinastrea","chumbitaroensis","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",62
2265,"Mexico","-100.701389","18.484167",100.5,113,"Actinastrea","chumbitaroensis","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",62
2267,"Mexico","-100.701389","18.484167",100.5,113,"Actinastrea","chumbitaroensis","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",62
1512,"Saudi Arabia","46.25","24.93",157.3,163.5,"Actinastrea","crassoramosa","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",32
2373,"Ethiopia","13.7","39.5",157.3,163.5,"Actinastrea","crassoramosa","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",64
675,"Global","NULL","NULL",56,93.9,"Actinastrea","elongata","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",11
676,"Global","NULL","NULL",66,86.3,"Actinastrea","exigua","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",11
677,"Global","NULL","NULL",61.6,83.6,"Actinastrea","geminata","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",11
678,"Europe","NULL","NULL",61.6,100.5,"Actinastrea","hexacnema","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",11
679,"Global","NULL","NULL",56,72.1,"Actinastrea","hexaphylla","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",11
2463,"Switzerland","8.3","46.966667",120,125,"Actinastrea","major","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",70
2624,"Greece","22.468835","38.586501",100.5,113,"Actinastrea","major","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",75
2286,"Switzerland","9","47",139.8,145,"Actinastrea","pseudominima","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",63
1666,"Iran","52.03333300","33.06666700",100.5,145,"Actinastrea","pseudominima","Coloniality","Morphological","colonial","text","expert_opinion","observation_field",42
680,"Global","NULL","NULL",66,100.5,"Actinastrea","ramosa","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",11
2692,"Germany","11.670876","47.637185",93.9,100.5,"Actinastrea","regularis","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",87
674,"Global","NULL","NULL",66,86.3,"Actinastrea","subdecaphylla","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",11
180,"Global","NULL","NULL",61.6,72.1,"Actinhelia","elegans","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",4
1711,"France","6.15","47.75",152.1,157.3,"Adelocoenia","arcensis","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",43
1685,"France","0.37","49.32",166.1,168.3,"Adelocoenia","bacciformis","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",43
1695,"Switzerland","7.39","46.62",542,999,"Adelocoenia","bachmanni","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",43
1712,"Poland","21.54","51.01",157.3,163.5,"Adelocoenia","baltovensis","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",43
1713,"Romania","28.04","44.54",152.1,157.3,"Adelocoenia","breviseptata","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",43
2364,"Switzerland","9","47",139.8,145,"Adelocoenia","bulgarica","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",63
1680,"France","5.6","50.25",157.3,163.5,"Adelocoenia","castellum","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",43
1707,"Portugal","8.97","39.54",152.1,157.3,"Adelocoenia","choffati","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",43
1696,"Switzerland","7.39","46.62",166.1,168.3,"Adelocoenia","compressa","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",43
1703,"Switzerland","7.34","47.36",152.1,157.3,"Adelocoenia","delemontana","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",43
1701,"Germany","10.24","48.69",145,157.3,"Adelocoenia","fallax","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",43
2365,"Switzerland","9","47",139.8,145,"Adelocoenia","hexaphyllia","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",63
1706,"France","1.15","46.16",152.1,157.3,"Adelocoenia","hexaphyllia","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",43
1714,"Germany","10.16","48.68",145,163.5,"Adelocoenia","limbata","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",43
1698,"France","0.35","49.31",166.1,168.3,"Adelocoenia","luciensis","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",43
1709,"France","4.83","45.76",190.8,199.3,"Adelocoenia","lugdunensis","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",43
1719,"Switzerland","7.57","47.27",145,163.5,"Adelocoenia","maxima","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",43
