"observation_id","location_name","longitude","latitude","min","max","genus_name","species_name","trait_name","trait_class","value","standard_unit","value_type","methodology_name","reference_no"
2666,"Mexico","-97.615398","18.31615",111,125,"Acanthocoenia","neocomiensis","Budding type","Reproductive","extracalicular","text","expert_opinion","Observation_field_or_laboratory",85
2666,"Mexico","-97.615398","18.31615",111,125,"Acanthocoenia","neocomiensis","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",85
2666,"Mexico","-97.615398","18.31615",111,125,"Acanthocoenia","neocomiensis","Colony form","Morphological","plocoid","text","expert_opinion","Observation_field_or_laboratory",85
2666,"Mexico","-97.615398","18.31615",111,125,"Acanthocoenia","neocomiensis","Wall structure","Morphological","compact, parathecal","text","expert_opinion","Observation_field_or_laboratory",85
2666,"Mexico","-97.615398","18.31615",111,125,"Acanthocoenia","neocomiensis","Columella structure","Morphological","styliform, large","text","expert_opinion","Observation_field_or_laboratory",85
2666,"Mexico","-97.615398","18.31615",111,125,"Acanthocoenia","neocomiensis","Number of septa per corallite","Morphological","20","units","raw_value","Observation_field_or_laboratory",85
158,"North America","NULL","NULL",0.8,5.3,"Acropora","","Budding type","Reproductive","extracalicular","text","expert_opinion","Observation_field_or_laboratory",2
158,"North America","NULL","NULL",0.8,5.3,"Acropora","","Zooxanthellate","Physiological","zooxanthellate","text","expert_opinion","Observation_field_or_laboratory",2
158,"North America","NULL","NULL",0.8,5.3,"Acropora","","Colony form","Morphological","plocoid","text","expert_opinion","Observation_field_or_laboratory",2
719,"Austria","14.550072","47.516231",0,999,"Acropora","","Wall structure","Morphological","synapticulothecal","text","expert_opinion","Observation_field_or_laboratory",11
719,"Austria","14.550072","47.516231",0,999,"Acropora","","Growth form","Morphological","branching","text","expert_opinion","Observation_field_or_laboratory",11
719,"Austria","14.550072","47.516231",0,999,"Acropora","","Colony form","Morphological","plocoid","text","expert_opinion","Observation_field_or_laboratory",11
7,"North America","NULL","NULL",0.8,5.3,"Acropora","","Budding type","Reproductive","extracalicular","text","expert_opinion","Observation_field_or_laboratory",2
719,"Austria","14.550072","47.516231",0,999,"Acropora","","Columella structure","Morphological","absent","text","expert_opinion","Observation_field_or_laboratory",11
719,"Austria","14.550072","47.516231",0,999,"Acropora","","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",11
158,"North America","NULL","NULL",0.8,5.3,"Acropora","","Growth form","Morphological","branching","text","expert_opinion","Observation_field_or_laboratory",2
6,"North America","NULL","NULL",0.8,5.3,"Acropora","","Corallite width maximum","Morphological","1.5","mm","maximum","Observation_field_or_laboratory",2
158,"North America","NULL","NULL",0.8,5.3,"Acropora","","Columella structure","Morphological","none","text","expert_opinion","Observation_field_or_laboratory",2
719,"Austria","14.550072","47.516231",0,999,"Acropora","","Distance between centres of corallites","Morphological","4","mm","maximum","Observation_field_or_laboratory",11
719,"Austria","14.550072","47.516231",0,999,"Acropora","","Number of septa per corallite","Morphological","18","units","mean","Observation_field_or_laboratory",11
719,"Austria","14.550072","47.516231",0,999,"Acropora","","Number of septal cycles","Morphological","2.5","units","mean","Observation_field_or_laboratory",11
158,"North America","NULL","NULL",0.8,5.3,"Acropora","","Corallite width maximum","Morphological","1.5","mm","maximum","Observation_field_or_laboratory",2
158,"North America","NULL","NULL",0.8,5.3,"Acropora","","Wall structure","Morphological","septothecal","text","expert_opinion","Observation_field_or_laboratory",2
878,"North America","NULL","NULL",0,5.3,"Acropora","cervicornis","Zooxanthellate","Physiological","zooxanthellate","text","expert_opinion","Observation_field_or_laboratory",2
2737,"Germany","11.670876","47.637185",93.9,100.5,"Acrosmilia","","Wall structure","Morphological","absent","text","expert_opinion","Observation_field_or_laboratory",87
2737,"Germany","11.670876","47.637185",93.9,100.5,"Acrosmilia","","Coloniality","Morphological","solitary","text","expert_opinion","Observation_field_or_laboratory",87
